id;insumo;stock
ITEM-0001;Algodón Paquete 500g;500
ITEM-0002;Bata Quirúrgica;499
ITEM-0003;Jeringa 5ml;498
ITEM-0004;Mascarilla N95;497
ITEM-0005;Suero Fisiológico 500ml;496
ITEM-0006;Gasas 10x10;495
ITEM-0007;Bisturí Desechable;494
ITEM-0008;Bisturí Desechable;493
ITEM-0009;Mascarilla N95;492
ITEM-0010;Aguja Hipodérmica;491
ITEM-0011;Bata Quirúrgica;490
ITEM-0012;Alcohol 70% 1L;489
ITEM-0013;Guante Nitrilo Talla M;488
ITEM-0014;Aguja Hipodérmica;487
ITEM-0015;Termómetro Digital;486
ITEM-0016;Termómetro Digital;485
ITEM-0017;Alcohol 70% 1L;484
ITEM-0018;Alcohol 70% 1L;483
ITEM-0019;Venda Elástica;482
ITEM-0020;Jeringa 5ml;481
ITEM-0021;Venda Elástica;480
ITEM-0022;Mascarilla N95;479
ITEM-0023;Gasas 10x10;478
ITEM-0024;Bata Quirúrgica;477
ITEM-0025;Alcohol 70% 1L;476
ITEM-0026;Jeringa 5ml;475
ITEM-0027;Bata Quirúrgica;474
ITEM-0028;Mascarilla N95;473
ITEM-0029;Gasas 10x10;472
ITEM-0030;Aguja Hipodérmica;471
ITEM-0031;Venda Elástica;470
ITEM-0032;Algodón Paquete 500g;469
ITEM-0033;Mascarilla N95;468
ITEM-0034;Termómetro Digital;467
ITEM-0035;Bisturí Desechable;466
ITEM-0036;Venda Elástica;465
ITEM-0037;Guante Nitrilo Talla M;464
ITEM-0038;Bisturí Desechable;463
ITEM-0039;Venda Elástica;462
ITEM-0040;Mascarilla N95;461
ITEM-0041;Bisturí Desechable;460
ITEM-0042;Alcohol 70% 1L;459
ITEM-0043;Gasas 10x10;458
ITEM-0044;Mascarilla N95;457
ITEM-0045;Alcohol 70% 1L;456
ITEM-0046;Alcohol 70% 1L;455
ITEM-0047;Algodón Paquete 500g;454
ITEM-0048;Venda Elástica;453
ITEM-0049;Gasas 10x10;452
ITEM-0050;Mascarilla N95;451
ITEM-0051;Mascarilla N95;450
ITEM-0052;Termómetro Digital;449
ITEM-0053;Jeringa 5ml;448
ITEM-0054;Algodón Paquete 500g;447
ITEM-0055;Bata Quirúrgica;446
ITEM-0056;Jeringa 5ml;445
